iter	Passed	Remaining
522	83644	76287
523	83907	76221
524	84214	76193
525	84466	76116
526	84781	76094
527	85136	76107
528	85448	76080
529	85750	76043
530	86067	76017
531	86328	75943
532	86656	75926
533	86999	75920
534	87300	75878
535	87564	75802
536	87806	75706
537	88061	75621
538	88365	75578
539	88613	75485
540	88819	75356
541	89022	75225
542	89186	75061
543	89339	74887
544	89504	74723
545	89598	74501
546	89740	74318
547	89852	74112
548	89976	73915
549	90124	73738
550	90249	73542
551	90389	73359
552	90535	73181
553	90676	72999
554	90801	72804
555	90897	72586
556	91034	72403
557	91178	72223
558	91308	72034
559	91420	71830
560	91538	71632
561	91665	71440
562	91777	71237
563	91868	71019
564	91962	70802
565	92076	70602
566	92201	70411
567	92321	70215
568	92435	70017
569	92540	69810
570	92653	69612
571	92760	69407
572	92906	69234
573	93014	69031
574	93141	68843
575	93251	68643
576	93350	68435
577	93461	68236
578	93557	68026
579	93660	67823
580	93775	67628
581	93898	67438
582	94008	67241
583	94126	67049
584	94237	66852
585	94369	66670
586	94497	66486
587	94618	66297
588	94760	66123
589	94918	65960
590	95024	65761
591	95143	65571
592	95250	65374
593	95384	65195
594	95482	64992
595	95622	64817
596	95753	64637
597	95867	64446
598	95998	64266
599	96136	64091
600	96253	63901
601	96353	63702
602	96498	63532
603	96624	63350
604	96741	63161
605	96890	62994
606	97018	62814
607	97134	62625
608	97256	62442
609	97478	62322
610	97679	62189
611	97828	62021
612	98080	61920
613	98230	61753
614	98363	61577
615	98495	61400
616	98631	61225
617	98794	61067
618	98939	60898
619	99083	60728
620	99232	60562
621	99381	60395
622	99531	60229
623	99711	60082
624	99854	59912
625	99958	59719
626	100077	59535
627	100203	59356
628	100357	59193
629	100472	59007
630	100602	58830
631	100725	58650
632	100841	58465
633	100976	58292
634	101106	58116
635	101230	57936
636	101352	57756
637	101457	57566
638	101563	57377
639	101667	57187
640	101811	57020
641	101965	56859
642	102132	56704
643	102270	56534
644	102409	56364
645	102545	56193
646	102668	56015
647	102769	55825
648	102881	55641
649	102998	55460
650	103110	55277
651	103242	55105
652	103344	54916
653	103449	54730
654	103566	54550
655	103691	54374
656	103819	54200
657	103948	54027
658	104079	53856
659	104208	53683
660	104333	53508
661	104467	53338
662	104596	53165
663	104711	52986
